#,country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests_1m_pop,population,continent
,North America,"1,710,601","+26,343","104,128","+1,209","444,817","1,161,656","18,022",,,,,,North America
,Europe,"1,797,528","+16,760","163,619",+780,"781,602","852,307","11,376",,,,,,Europe
,South America,"461,120","+20,938","24,115",+998,"162,610","274,395","10,478",,,,,,South America
,Asia,"818,947","+20,639","25,111",+377,"471,876","321,960","4,583",,,,,,Asia
,Africa,"90,074","+3,693","2,849",+72,"34,876","52,349",286,,,,,,Africa
,Oceania,"8,663",+15,120,+1,"7,926",617,12,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,"4,887,654","+88,388","319,957","+3,437","1,904,358","2,663,339","44,761",627,41.0,,,,All
1,USA,"1,549,895","+22,231","91,973",+995,"355,496","1,102,426","16,864","4,686",278,"12,260,449","37,066","330,769,370",North America
2,Russia,"290,678","+8,926","2,722",+91,"70,209","217,747","2,300","1,992",19,"7,147,014","48,977","145,927,122",Europe
3,Spain,"278,188",+469,"27,709",+59,"196,958","53,521","1,152","5,950",593,"3,037,840","64,977","46,752,654",Europe
4,Brazil,"255,368","+14,288","16,853",+735,"100,459","138,056","8,318","1,202",79,"735,224","3,462","212,376,810",South America
5,UK,"246,406","+2,711","34,796",+160,N/A,N/A,"1,559","3,632",513,"2,682,716","39,543","67,843,268",Europe
6,Italy,"225,886",+451,"32,007",+99,"127,326","66,553",749,"3,735",529,"3,041,366","50,294","60,472,166",Europe
7,France,"179,927",+358,"28,239",+131,"61,728","89,960","1,998","2,757",433,"1,384,633","21,218","65,256,433",Europe
8,Germany,"177,289",+638,"8,123",+74,"154,600","14,566","1,133","2,117",97,"3,147,771","37,584","83,752,125",Europe
9,Turkey,"150,593","+1,158","4,171",+31,"111,577","34,845",903,"1,788",50,"1,650,135","19,591","84,227,597",Asia
10,Iran,"122,492","+2,294","7,057",+69,"95,661","19,774","2,294","1,461",84,"701,640","8,367","83,859,705",Asia
11,India,"100,340","+4,642","3,156",+131,"39,233","57,951",,73,2,"2,302,792","1,671","1,378,344,732",Asia
12,Peru,"94,933","+2,660","2,789",+141,"30,306","61,838",866,"2,884",85,"661,132","20,086","32,914,644",South America
13,Canada,"78,072","+1,070","5,842",+60,"39,228","33,002",502,"2,071",155,"1,319,987","35,011","37,701,865",North America
14,Saudi Arabia,"57,345","+2,593",320,+8,"28,748","28,277",237,"1,650",9,"601,954","17,324","34,745,848",Asia
15,Belgium,"55,559",+279,"9,080",+28,"14,657","31,822",342,"4,796",784,"696,840","60,157","11,583,602",Europe
16,Mexico,"49,219","+2,075","5,177",+132,"33,329","10,713",378,382,40,"172,294","1,338","128,766,554",North America
17,Chile,"46,059","+2,278",478,+28,"20,165","25,416",807,"2,412",25,"381,011","19,952","19,096,239",South America
18,Netherlands,"44,141",+146,"5,694",+14,N/A,N/A,323,"2,577",332,"297,347","17,358","17,130,389",Europe
19,Pakistan,"42,125","+1,974",903,+30,"11,922","29,300",111,191,4,"387,335","1,758","220,345,049",Asia
20,Qatar,"33,969","+1,365",15,,"4,899","29,055",172,"11,816",5,"161,695","56,243","2,874,914",Asia
21,Ecuador,"33,582",+400,"2,799",+63,"3,433","27,350",186,"1,907",159,"96,536","5,482","17,609,499",South America
22,Switzerland,"30,597",+10,"1,886",+5,"27,600","1,111",57,"3,538",218,"345,760","39,986","8,646,966",Europe
23,Belarus,"30,572",+922,171,+6,"10,130","20,271",92,"3,235",18,"364,319","38,554","9,449,686",Europe
24,Sweden,"30,377",+234,"3,698",+19,"4,971","21,708",287,"3,010",366,"177,500","17,589","10,091,684",Europe
25,Portugal,"29,209",+173,"1,231",+13,"6,430","21,548",105,"2,864",121,"652,497","63,969","10,200,144",Europe
26,Singapore,"28,343",+305,22,,"9,835","18,486",12,"4,849",4,"246,254","42,132","5,844,763",Asia
27,Ireland,"24,200",+88,"1,547",+4,"19,470","3,183",54,"4,908",314,"258,808","52,486","4,930,999",Europe
28,UAE,"24,190",+832,224,+4,"9,577","14,389",1,"2,449",23,"1,600,923","162,108","9,875,638",Asia
29,Bangladesh,"23,870","+1,602",349,+21,"4,585","18,936",1,145,2,"185,086","1,125","164,488,562",Asia
30,Poland,"18,885",+356,936,+11,"7,628","10,321",160,499,25,"636,046","16,804","37,851,440",Europe
31,Ukraine,"18,616",+325,535,+21,"5,276","12,805",240,425,12,"232,899","5,322","43,763,700",Europe
32,Indonesia,"18,010",+496,"1,191",+43,"4,324","12,495",,66,4,"190,660",698,"273,168,646",Asia
33,Romania,"17,036",+165,"1,120",+13,"9,930","5,986",193,885,58,"313,621","16,290","19,252,270",Europe
34,Israel,"16,643",+26,276,+4,"13,253","3,114",52,"1,927",32,"505,702","58,540","8,638,547",Asia
35,South Africa,"16,433",+918,286,+22,"7,298","8,849",119,278,5,"475,071","8,023","59,216,090",Africa
36,Japan,"16,305",+20,749,+5,"11,564","3,992",228,129,6,"250,151","1,977","126,521,169",Asia
37,Colombia,"16,295",+721,592,+18,"3,903","11,800",136,321,12,"190,114","3,741","50,816,306",South America
38,Austria,"16,269",+27,629,,"14,614","1,026",45,"1,808",70,"366,069","40,673","9,000,226",Europe
39,Kuwait,"15,691",+841,118,+6,"4,339","11,234",161,"3,681",28,"248,314","58,253","4,262,674",Asia
40,Egypt,"12,764",+535,645,+15,"3,440","8,679",41,125,6,"135,000","1,322","102,088,722",Africa
41,Dominican Republic,"12,725",+411,434,+6,"6,613","5,678",127,"1,174",40,"50,108","4,625","10,834,592",North America
42,Philippines,"12,718",+205,831,+7,"2,729","9,158",81,116,8,"244,800","2,238","109,399,904",Asia
43,S. Korea,"11,065",+15,263,+1,"9,904",898,55,216,5,"753,211","14,693","51,263,999",Asia
44,Denmark,"10,968",+41,548,+1,"9,301","1,119",26,"1,894",95,"463,016","79,971","5,789,776",Europe
45,Serbia,"10,699",+89,231,+1,"4,799","5,669",16,"1,224",26,"185,385","21,208","8,741,417",Europe
46,Panama,"9,606",+157,275,+6,"6,081","3,250",72,"2,231",64,"50,348","11,692","4,306,239",North America
47,Czechia,"8,586",+111,297,,"5,641","2,648",36,802,28,"356,515","33,299","10,706,636",Europe
48,Argentina,"8,371",+303,382,+9,"2,625","5,364",154,185,8,"105,829","2,344","45,145,190",South America
49,Norway,"8,257",+8,233,+1,32,"7,992",18,"1,525",43,"218,039","40,258","5,416,102",Europe
50,Algeria,"7,201",+182,555,+7,"3,625","3,021",22,165,13,"6,500",149,"43,750,607",Africa
51,Bahrain,"7,184",+228,12,,"2,931","4,241",8,"4,242",7,"243,031","143,508","1,693,504",Asia
52,Afghanistan,"7,072",+408,173,+4,801,"6,098",19,182,4,"23,497",605,"38,814,948",Asia
53,Australia,"7,060",+15,99,+1,"6,392",569,12,277,4,"1,062,034","41,708","25,463,408",Australia/Oceania
54,Morocco,"6,952",+82,192,,"3,758","3,002",1,189,5,"94,595","2,567","36,856,563",Africa
55,Malaysia,"6,941",+47,113,,"5,615","1,213",13,215,3,"443,263","13,717","32,314,600",Asia
56,Kazakhstan,"6,440",+283,35,+1,"3,469","2,936",31,343,2,"540,708","28,839","18,748,973",Asia
57,Finland,"6,380",+33,300,+2,"5,000","1,080",34,"1,152",54,"149,700","27,023","5,539,705",Europe
58,Nigeria,"6,175",+216,191,+9,"1,644","4,340",7,30,0.9,"35,345",172,"205,472,159",Africa
59,Moldova,"6,138",+78,217,+6,"2,425","3,496",251,"1,521",54,"20,447","5,067","4,035,049",Europe
60,Ghana,"5,735",,29,,"1,754","3,952",5,185,0.9,"173,096","5,586","30,989,647",Africa
61,Oman,"5,379",+193,25,+3,"1,496","3,858",31,"1,057",5,"61,000","11,985","5,089,612",Asia
62,Armenia,"4,823",+351,61,+1,"2,019","2,743",10,"1,628",21,"41,850","14,126","2,962,589",Asia
63,Bolivia,"4,088",+262,169,+4,493,"3,426",3,351,15,"14,803","1,270","11,653,213",South America
64,Luxembourg,"3,947",+2,107,,"3,715",125,8,"6,318",171,"62,260","99,664","624,696",Europe
65,Iraq,"3,554",+150,127,+4,"2,310","1,117",,89,3,"149,701","3,733","40,105,788",Asia
66,Hungary,"3,535",+26,462,+11,"1,400","1,673",46,366,48,"137,243","14,203","9,663,190",Europe
67,Cameroon,"3,529",+424,140,,"1,567","1,822",28,133,5,,,"26,459,502",Africa
68,Azerbaijan,"3,387",+113,40,+1,"2,055","1,292",37,334,4,"235,910","23,293","10,128,038",Asia
69,Thailand,"3,031",+3,56,,"2,857",118,61,43,0.8,"286,008","4,099","69,779,241",Asia
70,Greece,"2,836",+2,165,+2,"1,374","1,297",24,272,16,"131,684","12,627","10,428,885",Europe
71,Guinea,"2,796",+138,16,,"1,263","1,517",18,214,1,"10,304",787,"13,085,782",Africa
72,Uzbekistan,"2,791",+38,13,+1,"2,314",464,8,84,0.4,"460,000","13,769","33,408,634",Asia
73,Honduras,"2,646",+81,142,+4,319,"2,185",14,268,14,"5,653",572,"9,884,814",North America
74,Sudan,"2,591",+302,105,+8,247,"2,239",,59,2,,,"43,716,354",Africa
75,Senegal,"2,544",+64,26,+1,"1,076","1,442",6,152,2,"24,599","1,474","16,685,890",Africa
76,Bosnia and Herzegovina,"2,304",+14,133,,"1,464",707,4,702,41,"51,320","15,631","3,283,142",Europe
77,Bulgaria,"2,235",+24,110,+2,612,"1,513",43,321,16,"65,936","9,481","6,954,364",Europe
78,Croatia,"2,228",+2,95,,"1,946",187,10,542,23,"54,820","13,344","4,108,150",Europe
79,Ivory Coast,"2,119",+10,28,+1,"1,040","1,051",,81,1,"18,608",708,"26,292,953",Africa
80,Guatemala,"1,912",+149,35,+2,138,"1,739",5,107,2,"20,820","1,165","17,873,451",North America
81,Cuba,"1,881",+9,79,,"1,505",297,9,166,7,"83,868","7,404","11,327,423",North America
