country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,totaltests,tests__1m_pop
World,"1,116,662","+101,566","59,174","+5,997","228,589","828,899","39,391",143,7.6,,
China,"81,639",+19,"3,326",+4,"76,755","1,558",331,57,2,,
USA,"277,161","+32,284","7,404","+1,328","12,283","257,474","5,787",837,22,"698,344","2,110"
Italy,"119,827","+4,585","14,681",+766,"19,758","85,388","4,068","1,982",243,"429,526","7,104"
Spain,"119,199","+7,134","11,198",+850,"30,513","77,488","6,416","2,549",240,"355,000","7,593"
Germany,"91,159","+6,365","1,275",+168,"24,575","65,309","3,936","1,088",15,"483,295","5,768"
France,"82,165","+23,060","6,507","+1,120","14,008","61,650","6,662","1,259",100,"101,046","1,548"
Iran,"53,183","+2,715","3,294",+134,"17,935","31,954","4,035",633,39,"80,000",952
UK,"38,168","+4,450","3,605",+684,135,"34,428",163,562,53,"173,784","2,560"
Turkey,"20,921","+2,786",425,+69,484,"20,012","1,251",248,5,"141,716","1,680"
Switzerland,"19,606",+779,591,+55,"4,846","14,169",348,"2,265",68,"111,000","12,826"
Belgium,"16,770","+1,422","1,143",+132,"2,872","12,755","1,205","1,447",99,"18,360","1,584"
Netherlands,"15,723","+1,026","1,487",+148,250,"13,986","1,324",918,87,"46,810","2,732"
Canada,"12,375","+1,092",208,+35,"2,186","9,981",120,328,6,"261,975","6,941"
Austria,"11,524",+395,168,+10,"2,022","9,334",245,"1,280",19,"98,343","10,919"
S. Korea,"10,062",+86,174,+5,"6,021","3,867",55,196,3,"421,547","8,222"
Portugal,"9,886",+852,246,+37,68,"9,572",245,970,24,"52,086","5,108"
Brazil,"9,194","+1,150",363,+39,127,"8,704",296,43,2,"45,708",215
Israel,"7,428",+571,40,+4,403,"6,985",113,858,5,"37,586","4,342"
Sweden,"6,131",+563,358,+50,205,"5,568",469,607,35,"24,500","2,426"
Australia,"5,454",+140,28,+3,585,"4,841",85,214,1,"275,000","10,784"
Norway,"5,370",+223,59,+9,32,"5,279",96,991,11,"98,587","18,185"
Ireland,"4,273",+424,120,+22,25,"4,128",148,865,24,"17,992","3,644"
Czechia,"4,190",+332,53,+9,72,"4,065",77,391,5,"67,281","6,283"
Russia,"4,149",+601,34,+4,281,"3,834",8,28,0.2,"575,000","3,940"
Denmark,"3,757",+371,139,+16,"1,193","2,425",153,649,24,"30,448","5,257"
Chile,"3,737",+333,22,+4,427,"3,288",31,195,1,"32,096","1,679"
Poland,"3,383",+437,71,+14,56,"3,256",50,89,2,"66,938","1,769"
Ecuador,"3,368",+205,145,+25,65,"3,158",100,191,8,"8,251",468
Malaysia,"3,333",+217,53,+3,827,"2,453",108,103,2,"47,723","1,474"
Romania,"3,183",+445,133,+18,283,"2,767",83,165,7,"31,657","1,646"
India,"3,059",+516,86,+14,192,"2,781",,2,0.06,"47,951",35
