country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
China,"80,894",,"3,237",,"69,614","8,043","2,622",56
Italy,"35,713","+4,207","2,978",+475,"4,025","28,710","2,257",591
Iran,"17,361","+1,192","1,135",+147,"5,710","10,516",,207
Spain,"14,769","+2,943",638,+105,"1,081","13,050",563,316
Germany,"12,327","+2,960",28,+2,105,"12,194",2,147
USA,"9,257","+2,846",150,+41,106,"9,001",64,28
France,"9,134","+1,404",264,+89,602,"8,268",931,140
S. Korea,"8,413",+93,84,+3,"1,540","6,789",59,164
Switzerland,"3,115",+373,33,+6,15,"3,067",,360
UK,"2,626",+676,104,+33,65,"2,457",20,39
Netherlands,"2,051",+346,58,+15,2,"1,991",45,120
Austria,"1,646",+314,4,,9,"1,633",12,183
Norway,"1,590",+119,6,+3,1,"1,583",27,293
Belgium,"1,486",+243,14,+4,31,"1,441",33,128
Sweden,"1,292",+96,10,+2,15,"1,267",12,128
Denmark,"1,057",+80,4,,1,"1,052",24,182
Japan,899,+21,29,,144,726,41,7
Malaysia,790,+117,2,,60,728,15,24
Canada,727,+129,9,+1,12,706,1,19
Diamond Princess,712,,7,,456,249,14,
Portugal,642,+194,2,+1,4,636,18,63
Australia,596,+141,6,+1,43,547,1,23
Czechia,522,+88,,,3,519,5,49
Brazil,509,+163,4,+3,2,503,18,2
Qatar,452,+10,,,4,448,,157
Israel,433,+96,,,11,422,6,50
Greece,418,+31,5,,14,399,13,40
Ireland,366,+74,2,,5,359,6,74
Finland,359,+37,,,10,349,2,65
Singapore,313,+47,,,114,199,14,54
Pakistan,307,+60,2,+2,13,292,,1
Poland,287,+49,5,,1,281,3,8
Slovenia,286,+11,1,,,285,6,138
Romania,260,+43,,,19,241,5,14
Estonia,258,+33,,,1,257,1,194
Bahrain,255,+14,1,,95,159,3,150
Iceland,250,+3,,,5,245,1,733
Saudi Arabia,238,+67,,,6,232,,7
Chile,238,+37,,,,238,3,12
Indonesia,227,+55,19,+12,11,197,,0.8
Thailand,212,+35,1,,41,170,1,3
Egypt,210,+14,6,,28,176,,2
Luxembourg,203,+63,2,+1,,201,1,324
Philippines,202,+15,17,+3,4,181,1,2
Turkey,191,+93,2,+1,,189,,2
Hong Kong,181,+13,4,,92,85,4,24
India,169,+26,3,,14,152,,0.1
Ecuador,168,+57,3,+1,,165,2,10
Iraq,164,+10,12,+1,41,111,,4
Russia,147,+33,,,8,139,,1
Peru,145,+28,,,1,144,8,4
Kuwait,142,+12,,,15,127,4,33
San Marino,140,+21,14,+3,4,122,11,"4,126"
