country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop
Guadeloupe,125,+11,6,+2,24,95,14,312,15
Montenegro,123,+14,2,,,121,4,196,3
Georgia,117,+7,,,23,94,6,29,
Bolivia,115,+8,7,+1,1,107,3,10,0.6
Kyrgyzstan,111,+4,,,3,108,3,17,
DRC,109,+11,9,+1,3,97,,1,0.1
Cambodia,109,,,,25,84,1,7,
Mayotte,101,+7,1,,10,90,3,370,4
Trinidad and Tobago,90,+3,5,+2,1,84,,64,4
Rwanda,82,+7,,,,82,,6,
Kenya,81,+22,1,,3,77,2,2,0.02
Gibraltar,81,+12,,,34,47,,"2,404",
Niger,74,+40,5,+2,,69,,3,0.2
Liechtenstein,72,+4,,,,72,,"1,888",
Paraguay,69,+4,3,,1,65,4,10,0.4
Isle of Man,68,+8,1,+1,,67,,800,12
Madagascar,57,,,,,57,6,2,
Monaco,55,+3,1,,2,52,2,"1,402",25
Aruba,55,,,,1,54,,515,
Bangladesh,54,+3,6,+1,25,23,1,0.3,0.04
French Guiana,51,,,,15,36,,171,
Barbados,45,+11,,,,45,,157,
Jamaica,44,+6,3,+1,2,39,,15,1
Uganda,44,,,,,44,,1.0,
Macao,41,,,,10,31,,63,
Guatemala,39,+1,1,,12,26,1,2,0.06
French Polynesia,37,,,,,37,1,132,
Togo,36,+2,2,+1,10,24,,4,0.2
Zambia,36,,,,,36,,2,
El Salvador,33,+1,2,+1,,31,4,5,0.3
Djibouti,33,+3,,,,33,,33,
Bermuda,32,,,,10,22,,514,
Mali,31,+3,3,+1,,28,,2,0.1
Guinea,30,+8,,,,30,,2,
Ethiopia,29,+3,,,2,27,2,0.3,
Congo,22,+3,2,+2,,20,,4,0.4
Cayman Islands,22,+8,1,,,21,,335,15
Saint Martin,22,+1,1,,2,19,,569,26
Bahamas,21,+7,1,+1,1,19,,53,3
Tanzania,20,+1,1,,1,18,,0.3,0.02
Guyana,19,+7,3,+1,,16,,24,4
Maldives,19,+1,,,13,6,,35,
Gabon,18,+2,1,,,17,,8,0.4
Myanmar,16,+1,1,,,15,,0.3,0.02
Sint Maarten,16,+10,1,+1,6,9,,373,23
Haiti,16,+1,,,1,15,,1,
New Caledonia,16,,,,1,15,,56,
Equatorial Guinea,15,,,,1,14,,11,
Eritrea,15,,,,,15,,4,
Mongolia,14,+2,,,2,12,,4,
Namibia,14,+3,,,2,12,,6,
Benin,13,+4,,,1,12,,1,
Saint Lucia,13,,,,1,12,,71,
Dominica,12,,,,,12,,167,
Curaçao,11,,1,,3,7,,67,6
Syria,10,,2,,,8,,0.6,0.1
Greenland,10,,,,2,8,,176,
Laos,10,+1,,,,10,,1,
Libya,10,,,,,10,,1,
Mozambique,10,+2,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
Suriname,10,+1,,,,10,,17,
MS Zaandam,9,+7,2,+2,,7,,,
Grenada,9,,,,,9,,80,
Guinea-Bissau,9,+1,,,,9,,5,
Eswatini,9,,,,,9,,8,
Angola,8,+1,2,,1,5,,0.2,0.06
Zimbabwe,8,,1,,,7,,0.5,0.07
Saint Kitts and Nevis,8,,,,,8,,150,
Sudan,7,,2,,2,3,,0.2,0.05
Antigua and Barbuda,7,,,,,7,,71,
Chad,7,,,,,7,,0.4,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Vatican City,6,,,,,6,,"7,491",
Liberia,6,+3,,,,6,,1,
St. Barth,6,,,,1,5,,607,
Turks and Caicos,6,+1,,,,6,,155,
Nicaragua,5,,1,,,4,,0.8,0.2
Nepal,5,,,,1,4,,0.2,
Fiji,5,,,,,5,,6,
Montserrat,5,,,,,5,,"1,002",
Somalia,5,,,,1,4,,0.3,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Bhutan,4,,,,,4,,5,
Belize,3,,,,,3,,8,
British Virgin Islands,3,,,,,3,,99,
CAR,3,,,,,3,,0.6,
Anguilla,2,,,,,2,,133,
Burundi,2,,,,,2,,0.2,
Caribbean Netherlands,2,+2,,,,2,,76,
St. Vincent Grenadines,2,+1,,,1,1,,18,
Sierra Leone,2,+1,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
