country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
Hong Kong,683,+41,4,,118,561,5,91,0.5
Egypt,656,+47,41,+1,150,465,,6,0.4
Iraq,630,+83,46,+4,152,432,,16,1
UAE,611,+41,5,+2,61,545,2,62,0.5
New Zealand,589,+75,1,,63,525,2,122,0.2
Algeria,584,+73,35,+4,37,512,,13,0.8
Morocco,556,+77,33,+7,15,508,1,15,0.9
Ukraine,548,+73,13,+3,8,527,,13,0.3
Bahrain,515,+16,4,,295,216,2,303,2
Lithuania,491,+31,7,,7,477,5,180,3
Armenia,482,+58,3,,30,449,15,163,1
Hungary,447,+39,15,+2,34,398,6,46,2
Lebanon,446,+8,11,+1,35,400,3,65,2
Latvia,376,+29,,,1,375,3,199,
Andorra,370,+36,8,+2,10,352,10,"4,789",104
Bosnia and Herzegovina,368,+45,10,+4,17,341,1,112,3
Tunisia,362,+50,9,+1,3,350,10,31,0.8
Bulgaria,359,+13,8,,17,334,13,52,1
Slovakia,336,+22,,,7,329,1,62,
Costa Rica,330,+16,2,,4,324,7,65,0.4
Uruguay,320,+16,1,,25,294,9,92,0.3
Taiwan,306,+8,5,+2,39,262,,13,0.2
Kazakhstan,302,+18,1,,21,280,,16,0.05
Moldova,298,+35,2,,15,281,44,74,0.5
North Macedonia,285,+26,7,+1,12,266,1,137,3
Azerbaijan,273,+64,4,,26,243,23,27,0.4
Jordan,268,+9,5,+2,26,237,3,26,0.5
Kuwait,266,+11,,,72,194,13,62,
Burkina Faso,246,+24,12,,31,203,,12,0.6
San Marino,230,+6,25,+3,13,192,16,"6,778",737
Cyprus,230,+16,7,+1,22,201,3,190,6
Réunion,224,+41,,,1,223,,250,
Albania,223,+11,11,+1,44,168,7,77,4
Vietnam,204,+10,,,55,149,3,2,
Oman,179,+12,,,29,150,3,35,
Afghanistan,170,+50,4,,2,164,,4,0.1
Cuba,170,+31,4,+1,4,162,2,15,0.4
Ivory Coast,168,+3,1,,6,161,,6,0.04
Faeroe Islands,168,+9,,,70,98,1,"3,438",
Senegal,162,+20,,,27,135,,10,
Malta,156,+5,,,2,154,4,353,
Ghana,152,,5,,2,145,1,5,0.2
Belarus,152,+58,,,32,120,2,16,
Uzbekistan,149,+5,2,,7,140,8,4,0.06
Channel Islands,141,+33,2,,,139,,811,12
Honduras,139,+29,7,+4,3,129,4,14,0.7
Cameroon,139,,6,,5,128,,5,0.2
Venezuela,135,+16,3,,39,93,6,5,0.1
Nigeria,131,+20,2,+1,8,121,,0.6,0.01
Mauritius,128,+21,3,,,125,1,101,2
Brunei,127,+1,1,,38,88,3,290,2
Sri Lanka,122,+5,2,+1,15,105,5,6,0.09
Palestine,117,+8,1,,18,98,,23,0.2
Cambodia,107,+4,,,21,86,1,6,
Guadeloupe,106,,4,,17,85,10,265,10
Georgia,103,+12,,,20,83,6,26,
Bolivia,97,+16,4,+3,,93,3,8,0.3
Kyrgyzstan,94,+10,,,3,91,,14,
Martinique,93,,1,,,92,12,248,3
Montenegro,91,+6,1,,,90,1,145,2
Trinidad and Tobago,83,+5,3,,1,79,,59,2
Mayotte,82,+19,,,10,72,3,301,
DRC,81,,8,,2,71,,0.9,0.09
Rwanda,70,,,,,70,,5,
Gibraltar,69,+4,,,34,35,,"2,048",
Paraguay,64,+5,3,,1,60,3,9,0.4
Liechtenstein,62,+6,,,,62,,"1,626",
Kenya,50,+8,1,,1,48,2,0.9,0.02
Aruba,50,,,,1,49,,468,
Bangladesh,49,+1,5,,19,25,1,0.3,0.03
Monaco,49,+3,1,,1,47,,"1,249",25
Isle of Man,49,+7,,,,49,,576,
French Guiana,43,,,,6,37,,144,
Madagascar,43,+4,,,,43,,2,
Macao,38,+1,,,10,28,,59,
Guatemala,36,+2,1,,10,25,1,2,0.06
Jamaica,36,+4,1,,2,33,,12,0.3
French Polynesia,36,+6,,,,36,2,128,
Zambia,35,+6,,,,35,,2,
Barbados,33,,,,,33,,115,
Uganda,33,,,,,33,,0.7,
Togo,30,+5,1,,1,28,,4,0.1
El Salvador,30,+6,,,,30,5,5,
Niger,27,+9,3,+2,,24,,1,0.1
Bermuda,27,+5,,,2,25,,434,
Mali,25,+7,2,+1,,23,,1,0.10
Ethiopia,23,+2,,,4,19,1,0.2,
Guinea,22,+6,,,,22,,2,
Congo,19,,,,,19,,3,
Tanzania,19,+5,,,1,18,,0.3,
Djibouti,18,,,,,18,,18,
Maldives,17,,,,13,4,,31,
Saint Martin,15,+4,1,+1,2,12,,388,26
Eritrea,15,+3,,,,15,,4,
Haiti,15,,,,1,14,,1,
New Caledonia,15,,,,,15,,53,
Bahamas,14,,,,1,13,,36,
Myanmar,14,+4,,,,14,,0.3,
Cayman Islands,12,,1,,,11,,183,15
Dominica,12,+1,,,,12,,167,
Equatorial Guinea,12,,,,,12,,9,
Mongolia,12,,,,2,10,,4,
Curaçao,11,+3,1,,2,8,,67,6
Namibia,11,,,,2,9,,4,
Syria,10,+1,2,+1,,8,,0.6,0.1
Greenland,10,,,,2,8,,176,
Grenada,9,,,,,9,,80,
Saint Lucia,9,,,,1,8,,49,
Eswatini,9,,,,,9,,8,
Guyana,8,,1,,,7,,10,1
Guinea-Bissau,8,+6,,,,8,,4,
Laos,8,,,,,8,,1,
Libya,8,,,,,8,,1,
Mozambique,8,,,,,8,,0.3,
Seychelles,8,,,,,8,,81,
Suriname,8,,,,,8,,14,
Angola,7,,2,,1,4,,0.2,0.06
Gabon,7,,1,,,6,,3,0.4
Zimbabwe,7,,1,,,6,,0.5,0.07
Antigua and Barbuda,7,,,,,7,,71,
Saint Kitts and Nevis,7,+5,,,,7,,132,
Sudan,6,,2,+1,,4,,0.1,0.05
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,+1,1,+1,2,3,,1,0.2
Benin,6,,,,,6,,0.5,
Vatican City,6,,,,,6,,"7,491",
St. Barth,6,+1,,,1,5,,607,
Sint Maarten,6,,,,,6,,140,
Nepal,5,,,,1,4,,0.2,
Chad,5,+2,,,,5,,0.3,
Fiji,5,,,,,5,,6,
Montserrat,5,,,,,5,,"1,002",
Turks and Caicos,5,+1,,,,5,,129,
Gambia,4,,1,,,3,,2,0.4
Nicaragua,4,,1,,,3,,0.6,0.2
Bhutan,4,,,,,4,,5,
Belize,3,+1,,,,3,,8,
Botswana,3,+3,,,,3,,1,
CAR,3,,,,,3,,0.6,
Liberia,3,,,,,3,,0.6,
Somalia,3,,,,,3,,0.2,
MS Zaandam,2,,,,,2,,,
Anguilla,2,,,,,2,,133,
British Virgin Islands,2,,,,,2,,66,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,1,0,,9,
Timor-Leste,1,,,,,1,,0.8,
