country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,reported1st_case
Namibia,11,,,,2,9,,4,,Mar 13
Syria,10,+1,2,+1,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2,8,,176,,Mar 15
Grenada,9,,,,,9,,80,,Mar 21
Saint Lucia,9,,,,1,8,,49,,Mar 12
Eswatini,9,,,,,9,,8,,Mar 13
Guyana,8,,1,,,7,,10,1,Mar 11
Guinea-Bissau,8,+6,,,,8,,4,,Mar 24
Laos,8,,,,,8,,1,,Mar 23
Libya,8,,,,,8,,1,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81,,Mar 13
Suriname,8,,,,,8,,14,,Mar 12
Angola,7,,2,,1,4,,0.2,0.06,Mar 19
Gabon,7,,1,,,6,,3,0.4,Mar 12
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Saint Kitts and Nevis,7,+5,,,,7,,132,,Mar 24
Sudan,6,,2,+1,,4,,0.1,0.05,Mar 12
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Mauritania,6,+1,1,+1,2,3,,1,0.2,Mar 12
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,"7,491",,Mar 05
St. Barth,6,+1,,,1,5,,607,,Feb 29
Sint Maarten,6,,,,,6,,140,,Mar 17
Nepal,5,,,,1,4,,0.2,,Jan 23
Chad,5,+2,,,,5,,0.3,,Mar 18
Fiji,5,,,,,5,,6,,Mar 18
Montserrat,5,,,,,5,,"1,002",,Mar 17
Turks and Caicos,5,+1,,,,5,,129,,Mar 22
Gambia,4,,1,,,3,,2,0.4,Mar 16
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5,,Mar 05
Belize,3,+1,,,,3,,8,,Mar 22
Botswana,3,+3,,,,3,,1,,Mar 29
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
British Virgin Islands,2,,,,,2,,66,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
