country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
Vietnam,251,+6,,,123,128,8,3,
Montenegro,241,+8,2,,4,235,7,384,3
Senegal,237,+11,2,,105,130,1,14,0.1
Kyrgyzstan,228,+12,4,,33,191,5,35,0.6
Georgia,196,+8,3,+1,46,147,6,49,0.8
Bolivia,194,+11,14,+3,2,178,3,17,1
Sri Lanka,185,+7,6,+1,42,137,5,9,0.3
Faeroe Islands,184,+1,,,120,64,2,"3,766",
DRC,180,+19,18,,9,153,,2,0.2
Kenya,172,+14,6,,7,159,2,3,0.1
Mayotte,171,+7,2,,22,147,3,627,7
Venezuela,166,+1,7,,65,94,6,6,0.2
Bangladesh,164,+41,17,+5,33,114,1,1.0,0.1
Martinique,152,+1,4,,50,98,20,405,11
Isle of Man,150,+11,1,,73,76,6,"1,764",12
Guinea,144,+16,,,5,139,,11,
Guadeloupe,139,,7,,31,101,14,347,17
Brunei,135,,1,,85,49,3,309,2
Paraguay,115,+2,5,,15,95,1,16,0.7
Cambodia,115,+1,,,58,57,1,7,
Gibraltar,113,+4,,,60,53,,"3,354",
Trinidad and Tobago,107,+2,8,,1,98,,76,6
Rwanda,105,,,,7,98,,8,
Djibouti,90,,,,9,81,,91,
Madagascar,88,+6,,,7,81,6,3,
Monaco,79,+2,1,,4,74,4,"2,013",25
El Salvador,78,+9,4,,5,69,4,12,0.6
Liechtenstein,78,+1,1,,55,22,,"2,046",26
Guatemala,77,+7,3,,17,57,3,4,0.2
French Guiana,77,+5,,,34,43,1,258,
Aruba,74,+3,,,14,60,,693,
Togo,65,+7,3,,23,39,,8,0.4
Barbados,63,+3,3,+1,6,54,4,219,10
Jamaica,63,+4,3,,9,51,,21,1
Mali,56,+9,5,,12,39,,3,0.2
Ethiopia,52,+8,2,,4,46,1,0.5,0.02
Uganda,52,,,,,52,,1,
French Polynesia,47,+5,,,,47,,167,
Congo,45,,5,,2,38,,8,0.9
Cayman Islands,45,+6,1,,6,38,,685,15
Macao,44,,,,10,34,1,68,
Sint Maarten,40,+3,6,,1,33,2,933,140
Bermuda,39,,2,,17,20,,626,32
Zambia,39,,1,,7,31,,2,0.05
Bahamas,33,,6,+1,5,22,1,84,15
Guyana,33,+2,5,+1,8,20,4,42,6
Guinea-Bissau,33,+15,,,,33,,17,
Saint Martin,32,,2,,7,23,6,828,52
Eritrea,31,,,,,31,,9,
Gabon,30,+6,1,,1,28,,13,0.4
Benin,26,,1,,5,20,,2,0.08
Haiti,25,+1,1,,,24,,2,0.09
Tanzania,24,,1,,5,18,,0.4,0.02
Myanmar,22,,1,,,21,,0.4,0.02
Libya,20,+1,1,,1,18,,3,0.1
Syria,19,,2,,3,14,,1,0.1
Antigua and Barbuda,19,+4,1,+1,,18,1,194,10
Maldives,19,,,,13,6,,35,
New Caledonia,18,,,,1,17,,63,
Angola,17,+1,2,,2,13,,0.5,0.06
Equatorial Guinea,16,,,,3,13,,11,
Namibia,16,,,,3,13,,6,
Dominica,15,,,,1,14,,208,
Fiji,15,+1,,,,15,,17,
Mongolia,15,,,,4,11,,5,
Liberia,14,,3,,3,8,,3,0.6
Sudan,14,+2,2,,2,10,,0.3,0.05
Laos,14,+2,,,,14,,2,
Saint Lucia,14,,,,1,13,,76,
Curaçao,13,,1,,7,5,,79,6
Grenada,12,,,,,12,2,107,
Zimbabwe,11,+1,2,+1,,9,,0.7,0.1
Greenland,11,,,,10,1,,194,
Saint Kitts and Nevis,11,+1,,,,11,,207,
Seychelles,11,,,,,11,,112,
Suriname,10,,1,,,9,,17,2
Chad,10,+1,,,2,8,,0.6,
Mozambique,10,,,,1,9,,0.3,
Eswatini,10,,,,4,6,,9,
MS Zaandam,9,,2,,,7,,,
Nepal,9,,,,1,8,,0.3,
Montserrat,9,+3,,,,9,1,"1,803",
Malawi,8,+3,1,+1,,7,1,0.4,0.05
Turks and Caicos,8,,1,,,7,,207,26
CAR,8,,,,,8,,2,
St. Vincent Grenadines,8,+1,,,1,7,,72,
Somalia,8,+1,,,1,7,,0.5,
Belize,7,,1,,,6,1,18,3
Cabo Verde,7,,1,,1,5,,13,2
Vatican City,7,,,,,7,,"8,739",
Botswana,6,,1,,,5,,3,0.4
Mauritania,6,,1,,2,3,,1,0.2
Nicaragua,6,,1,,,5,,0.9,0.2
St. Barth,6,,,,1,5,,607,
Sierra Leone,6,,,,,6,,0.8,
Bhutan,5,,,,2,3,,6,
Gambia,4,,1,,2,1,,2,0.4
Sao Tome and Principe,4,,,,,4,,18,
Western Sahara,4,,,,,4,,7,
Anguilla,3,,,,,3,,200,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Caribbean Netherlands,2,,,,,2,,76,
Falkland Islands,2,,,,,2,,575,
Papua New Guinea,2,,,,,2,,0.2,
South Sudan,2,+1,,,,2,,0.2,
Saint Pierre Miquelon,1,,,,,1,,173,
Timor-Leste,1,,,,,1,,0.8,
