country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop,tot_deaths_1m_pop
China,"81,340",+55,"3,292",+5,"74,588","3,460","1,034",57,2
USA,"85,435","+17,224","1,295",+268,"1,868","82,272","2,122",258,4
Italy,"80,589","+6,203","8,215",+712,"10,361","62,013","3,612","1,333",136
Spain,"57,786","+8,271","4,365",+718,"7,015","46,406","3,166","1,236",93
Germany,"43,938","+6,615",267,+61,"5,673","37,998",23,524,3
Iran,"29,406","+2,389","2,234",+157,"10,457","16,715","2,746",350,27
France,"29,155","+3,922","1,696",+365,"4,948","22,511","3,375",447,26
Switzerland,"11,811",+914,192,+39,131,"11,488",141,"1,365",22
UK,"11,658","+2,129",578,+115,135,"10,945",163,172,9
S. Korea,"9,241",+104,131,+5,"4,144","4,966",59,180,3
Netherlands,"7,431","+1,019",434,+78,3,"6,994",761,434,25
Austria,"6,909","+1,321",49,+18,112,"6,748",96,767,5
Belgium,"6,235","+1,298",220,+42,675,"5,340",605,538,19
Canada,"4,043",+634,39,+3,228,"3,776",120,107,1
Turkey,"3,629","+1,196",75,+16,26,"3,528",136,43,0.9
Portugal,"3,544",+549,60,+17,43,"3,441",61,348,6
Norway,"3,372",+288,14,,6,"3,352",70,622,3
Australia,"3,050",+374,13,+2,170,"2,867",23,120,0.5
Brazil,"2,985",+431,77,+18,6,"2,902",18,14,0.4
Sweden,"2,840",+314,77,+15,16,"2,747",200,281,8
Israel,"2,693",+324,8,+3,68,"2,617",46,311,0.9
Malaysia,"2,031",+235,23,+3,215,"1,793",45,63,0.7
Czechia,"1,925",+271,9,+3,10,"1,906",34,180,0.8
Denmark,"1,877",+153,41,+7,1,"1,835",94,324,7
Ireland,"1,819",+255,19,+10,5,"1,795",47,368,4
Luxembourg,"1,453",+120,9,+1,6,"1,438",3,"2,321",14
Ecuador,"1,403",+192,34,+5,3,"1,366",58,80,2
Japan,"1,387",+80,47,+2,359,981,57,11,0.4
Chile,"1,306",+164,4,+1,22,"1,280",7,68,0.2
Poland,"1,221",+170,16,+2,7,"1,198",3,32,0.4
Pakistan,"1,201",+138,9,+1,21,"1,171",5,5,0.04
Thailand,"1,045",+111,4,,88,953,4,15,0.06
Romania,"1,029",+123,23,+6,94,912,29,53,1
Saudi Arabia,"1,012",+112,3,+1,33,976,6,29,0.09
Finland,958,+78,5,+2,10,943,24,173,0.9
South Africa,927,+218,,,12,915,2,16,
Indonesia,893,+103,78,+20,35,780,,3,0.3
Greece,892,+71,27,+5,36,829,53,86,3
Russia,840,+182,3,,38,799,8,6,0.02
Iceland,802,+65,2,,82,718,11,"2,350",6
India,727,+70,20,+8,45,662,,0.5,0.01
Diamond Princess,712,,10,,597,105,15,,
Philippines,707,+71,45,+7,28,634,1,6,0.4
Singapore,683,+52,2,,172,509,17,117,0.3
Panama,674,+116,9,+1,2,663,20,156,2
Argentina,589,+87,12,+4,72,505,,13,0.3
Peru,580,+100,9,,14,557,14,18,0.3
Slovenia,562,+34,6,+1,10,546,14,270,3
Qatar,549,+12,,,43,506,6,191,
Estonia,538,+134,1,,8,529,6,406,0.8
Egypt,495,+39,24,+3,102,369,,5,0.2
Croatia,495,+53,3,+2,22,470,14,121,0.7
Colombia,491,+21,6,+2,8,477,,10,0.1
Dominican Republic,488,+96,10,,3,475,,45,0.9
Mexico,475,+70,6,+1,4,465,1,4,0.05
Bahrain,458,+39,4,,204,250,1,269,2
Serbia,457,+73,7,+3,15,435,21,52,0.8
Hong Kong,454,+43,4,,110,340,5,61,0.5
Iraq,382,+36,36,+7,105,241,,9,0.9
Lebanon,368,+35,6,,23,339,3,54,0.9
New Zealand,368,+85,,,37,331,1,76,
Algeria,367,+65,25,+4,29,313,,8,0.6
UAE,333,,2,,52,279,2,34,0.2
Lithuania,299,+25,4,,1,294,1,110,1
Armenia,290,+25,1,+1,18,271,6,98,0.3
Morocco,275,+50,11,+5,8,256,1,7,0.3
Bulgaria,264,+22,3,,8,253,8,38,0.4
Hungary,261,+35,10,,28,223,6,27,1
Taiwan,252,+17,2,,29,221,,11,0.08
Latvia,244,+23,,,1,243,,129,
Uruguay,238,+21,,,,238,3,69,
Costa Rica,231,+30,2,,2,227,5,45,0.4
Slovakia,226,+10,,,2,224,2,41,
Andorra,224,+36,3,+2,1,220,6,"2,899",39
Jordan,212,+40,,,1,211,,21,
San Marino,208,,21,,4,183,12,"6,130",619
Kuwait,208,+13,,,49,159,7,49,
North Macedonia,201,+24,3,,3,195,1,96,1
Tunisia,197,+24,5,,2,190,10,17,0.4
Ukraine,196,+51,5,,1,190,,4,0.1
Bosnia and Herzegovina,191,+15,3,,2,186,1,58,0.9
Moldova,177,+28,1,,2,174,28,44,0.2
Albania,174,+28,6,+1,17,151,3,60,2
Vietnam,153,+5,,,20,133,3,2,
Burkina Faso,152,+6,7,+3,10,135,,7,0.3
Cyprus,146,+14,3,,4,139,3,121,2
Faeroe Islands,140,+8,,,47,93,,"2,865",
Réunion,135,+24,,,1,134,,151,
Malta,134,+5,,,2,132,1,303,
Ghana,132,+64,4,,1,127,,4,0.1
Azerbaijan,122,+29,3,+1,15,104,6,12,0.3
Brunei,114,+5,,,5,109,1,261,
Kazakhstan,113,+32,1,+1,2,110,,6,0.05
Oman,109,+10,,,23,86,,21,
Venezuela,107,+1,1,+1,15,91,2,4,0.04
Sri Lanka,106,+4,,,7,99,3,5,
Senegal,105,+6,,,9,96,,6,
Cambodia,98,+2,,,10,88,1,6,
