country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
China,"80,967",+39,"3,248",+3,"71,150","6,569","2,136",56
Italy,"41,035","+5,322","3,405",+427,"4,440","33,190","2,498",679
Iran,"18,407","+1,046","1,284",+149,"5,979","11,144",,219
Spain,"18,077","+3,308",831,+193,"1,107","16,139",939,387
Germany,"15,320","+2,993",44,+16,115,"15,161",2,183
USA,"13,789","+4,530",207,+57,108,"13,474",64,42
France,"10,995","+1,861",372,+108,"1,295","9,328","1,122",168
S. Korea,"8,565",+152,91,+7,"1,947","6,527",59,167
Switzerland,"4,222","+1,107",43,+10,15,"4,164",,488
UK,"3,269",+643,144,+40,65,"3,060",20,48
Netherlands,"2,460",+409,76,+18,2,"2,382",45,144
Austria,"2,179",+533,6,+2,9,"2,164",13,242
Belgium,"1,795",+309,21,+7,165,"1,609",130,155
Norway,"1,790",+199,7,+1,1,"1,782",27,330
Sweden,"1,439",+138,11,+1,16,"1,412",21,142
Denmark,"1,151",+94,6,+2,1,"1,144",30,199
Japan,943,+29,33,+4,191,719,46,7
Malaysia,900,+110,2,,75,823,15,28
Canada,873,+146,12,+3,11,850,1,23
Portugal,786,+144,4,+2,4,778,20,77
Australia,756,+160,7,+1,46,703,1,30
Diamond Princess,712,,7,,527,178,14,
Czechia,694,+172,,,3,691,6,65
Israel,677,+244,,,14,663,6,78
Brazil,640,+111,7,+3,2,631,18,3
Ireland,557,+191,3,+1,5,549,6,113
Greece,464,+46,6,+1,19,439,16,45
Qatar,460,+8,,,10,450,6,160
Pakistan,454,+147,2,,13,439,,2
Finland,400,+41,,,10,390,2,72
Turkey,359,+168,4,+2,,355,,4
Poland,355,+68,5,,13,337,3,9
Singapore,345,+32,,,124,221,14,59
Chile,342,+104,,,,342,6,18
Luxembourg,335,+132,4,+2,6,325,1,535
Iceland,330,+80,,,5,325,1,967
Slovenia,319,+33,1,,,318,6,153
Indonesia,309,+82,25,+6,15,269,,1
Bahrain,279,+23,1,,110,168,4,164
Romania,277,+17,,,25,252,5,14
Saudi Arabia,274,+36,,,8,266,,8
Thailand,272,+60,1,,42,229,1,4
Estonia,267,+9,,,1,266,1,201
Ecuador,260,+92,3,,1,256,2,15
Egypt,256,+46,7,+1,42,207,,3
Peru,234,+89,1,+1,1,232,7,7
Philippines,217,+15,17,,8,192,1,2
Hong Kong,208,+15,4,,98,106,4,28
Russia,199,+52,1,+1,8,190,,1
India,194,+25,4,+1,20,170,,0.1
Iraq,192,+28,13,+1,49,130,,5
Lebanon,157,+24,4,,4,149,3,23
South Africa,150,+34,,,,150,,3
Kuwait,148,+6,,,18,130,5,35
San Marino,144,+4,14,,4,126,12,"4,244"
UAE,140,+27,,,31,109,2,14
Panama,137,+28,1,,1,135,7,32
Argentina,128,+31,3,+1,3,122,,3
Slovakia,124,+19,,,,124,2,23
Armenia,122,+12,,,1,121,2,41
Mexico,118,+25,1,+1,4,113,1,0.9
Croatia,110,+21,1,+1,5,104,,27
Taiwan,108,+8,1,,26,81,,5
Colombia,108,+15,,,1,107,,2
Bulgaria,107,+15,3,+1,,104,,15
Serbia,103,+14,,,1,102,4,12
Algeria,90,+15,9,+2,32,49,,2
Costa Rica,87,+18,1,,,86,2,17
Latvia,86,+15,,,1,85,,46
Vietnam,85,+9,,,16,69,,0.9
Uruguay,79,,,,,79,,23
Andorra,74,+21,,,1,73,,958
Hungary,73,+15,1,,2,70,4,8
Brunei,73,+5,,,,73,2,167
Faeroe Islands,72,+14,,,1,71,,"1,474"
Jordan,69,+13,,,1,68,,7
Cyprus,67,+9,,,,67,1,55
Albania,64,+5,2,,,62,2,22
Bosnia and Herzegovina,64,+25,,,2,62,,20
Morocco,63,+9,2,,2,59,1,2
Sri Lanka,60,+9,,,3,57,,3
Malta,53,+5,,,2,51,,120
Belarus,51,,,,5,46,,5
North Macedonia,50,+7,,,1,49,1,24
Moldova,49,+13,1,,1,47,3,12
Lithuania,48,+14,,,1,47,1,18
Oman,48,+9,,,13,35,,9
Palestine,47,+3,,,,47,,9
Azerbaijan,44,+10,1,,7,36,,4
Kazakhstan,44,+8,,,,44,,2
Venezuela,42,+6,,,,42,,1
Georgia,40,+2,,,1,39,1,10
Tunisia,39,+10,1,+1,1,37,2,3
Cambodia,37,,,,1,36,,2
Senegal,36,,,,2,34,,2
Dominican Republic,34,,2,,,32,,3
Burkina Faso,33,+6,1,,,32,,2
Guadeloupe,33,,,,,33,,82
New Zealand,28,+8,,,,28,,6
Liechtenstein,28,,,,,28,,734
Réunion,28,+14,,,,28,,31
Ukraine,26,+10,3,+1,,23,,0.6
Martinique,23,,1,,,22,4,61
Uzbekistan,23,+5,,,,23,,0.7
Afghanistan,22,,,,1,21,,0.6
Bangladesh,18,+4,1,,3,14,,0.1
Macao,17,,,,10,7,,26
Jamaica,15,,1,,2,12,,5
Bolivia,15,+3,,,,15,,1
French Guiana,15,,,,,15,,50
DRC,14,+7,,,,14,,0.2
Cameroon,13,,,,,13,,0.5
Maldives,13,,,,,13,,24
Montenegro,13,+5,,,,13,,21
Paraguay,13,+2,,,,13,1,2
Nigeria,12,+4,,,1,11,,0.06
Guam,12,+4,,,,12,,71
Honduras,12,+3,,,,12,,1
Cuba,11,+1,1,,,10,,1.0
Channel Islands,11,+4,,,,11,,63
Ghana,11,+4,,,,11,,0.4
Rwanda,11,,,,,11,,0.8
Monaco,10,+1,,,,10,,255
Gibraltar,10,+2,,,2,8,,297
Guatemala,9,+1,1,,,8,,0.5
Ivory Coast,9,,,,1,8,,0.3
Trinidad and Tobago,9,+2,,,,9,,6
Ethiopia,7,+1,,,,7,,0.06
Kenya,7,,,,,7,,0.1
Mauritius,7,+4,,,,7,,6
Equatorial Guinea,6,+2,,,,6,,4
French Polynesia,6,+1,,,,6,,21
Mongolia,6,,,,,6,,2
Puerto Rico,6,,,,,6,,2
Seychelles,6,,,,,6,,61
Tanzania,6,+3,,,,6,,0.1
Guyana,5,+1,1,,,4,,6
Aruba,5,+1,,,1,4,,47
Barbados,5,+3,,,,5,,17
Mayotte,4,+1,,,,4,,15
Cayman Islands,3,+2,1,,,2,,46
Curaçao,3,,1,+1,,2,,18
Bahamas,3,+2,,,,3,,8
Congo,3,+2,,,,3,,0.5
Gabon,3,,,,,3,,1
Kyrgyzstan,3,,,,,3,,0.5
Namibia,3,+1,,,,3,,1
St. Barth,3,,,,,3,,304
Saint Martin,3,,,,,3,,78
U.S. Virgin Islands,3,+1,,,,3,,29
Sudan,2,,1,,,1,,0.05
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Greenland,2,,,,,2,,35
Liberia,2,,,,,2,,0.4
Mauritania,2,,,,,2,,0.4
New Caledonia,2,,,,,2,,7
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bhutan,1,,,,,1,,1
CAR,1,,,,,1,,0.2
Chad,1,+1,,,,1,,0.06
Djibouti,1,,,,,1,,1
El Salvador,1,+1,,,,1,,0.2
Fiji,1,+1,,,,1,,1
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,"1,248"
Isle of Man,1,+1,,,,1,,12
Montserrat,1,,,,,1,,200
Nicaragua,1,+1,,,,1,,0.2
Niger,1,+1,,,,1,,0.04
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
