country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,critical,tot_cases,tot_deaths
World,"1,272,901","+71,418","69,427","+4,737","264,604","938,870","45,589",163,8.9
China,"81,708",+39,"3,331",+2,"77,078","1,299",265,57,2
USA,"336,673","+25,316","9,616","+1,165","17,977","309,080","8,702","1,017",29
Spain,"131,646","+5,478","12,641",+694,"38,080","80,925","6,861","2,816",270
Italy,"128,948","+4,316","15,887",+525,"21,815","91,246","3,977","2,133",263
Germany,"100,123","+4,031","1,584",+140,"28,700","69,839","3,936","1,195",19
France,"92,839","+2,886","8,078",+518,"16,183","68,578","6,838","1,422",124
Iran,"58,226","+2,483","3,603",+151,"22,011","32,612","4,103",693,43
UK,"47,806","+5,903","4,934",+621,135,"42,737","1,559",704,73
Turkey,"27,069","+3,135",574,+73,"1,042","25,453","1,381",321,7
Switzerland,"21,100",+595,715,+49,"6,415","13,970",391,"2,438",83
Belgium,"19,691","+1,260","1,447",+164,"3,751","14,493","1,261","1,699",125
Netherlands,"17,851","+1,224","1,766",+115,250,"15,835","1,385","1,042",103
Canada,"15,512","+1,600",280,+49,"2,942","12,290",426,411,7
Austria,"12,051",+270,204,+18,"2,998","8,849",244,"1,338",23
Portugal,"11,278",+754,295,+29,75,"10,908",267,"1,106",29
Brazil,"11,254",+894,486,+41,127,"10,641",296,53,2
S. Korea,"10,237",+81,183,+6,"6,463","3,591",55,200,4
Israel,"8,430",+579,49,+5,477,"7,904",139,974,6
Sweden,"6,830",+387,401,+28,205,"6,224",541,676,40
Australia,"5,750",+200,37,+7,"2,315","3,398",91,225,1
Norway,"5,687",+137,71,+9,32,"5,584",89,"1,049",13
Russia,"5,389",+658,45,+2,355,"4,989",8,37,0.3
Ireland,"4,994",+390,158,+21,25,"4,811",165,"1,011",32
Czechia,"4,587",+115,67,+8,96,"4,424",86,428,6
Chile,"4,471",+310,34,+7,618,"3,819",307,234,2
Denmark,"4,369",+292,179,+18,"1,327","2,863",142,754,31
India,"4,289",+701,118,+19,328,"3,843",,3,0.09
Poland,"4,102",+475,94,+15,134,"3,874",50,108,2
Romania,"3,864",+251,151,+5,374,"3,339",141,201,8
Malaysia,"3,662",+179,61,+4,"1,005","2,596",99,113,2
Japan,"3,654",+515,85,+8,575,"2,994",69,29,0.7
Ecuador,"3,646",+181,180,+8,100,"3,366",100,207,10
Philippines,"3,246",+152,152,+8,64,"3,030",1,30,1
Pakistan,"3,157",+339,47,+6,211,"2,899",18,14,0.2
Luxembourg,"2,804",+75,36,+5,500,"2,268",33,"4,479",58
Saudi Arabia,"2,402",+223,34,+5,488,"1,880",41,69,1.0
Peru,"2,281",+535,83,+10,989,"1,209",81,69,3
Indonesia,"2,273",+181,198,+7,164,"1,911",,8,0.7
Thailand,"2,169",+102,23,+3,793,"1,353",23,31,0.3
Finland,"1,927",+45,28,+3,300,"1,599",73,348,5
Serbia,"1,908",+284,51,+7,54,"1,803",98,218,6
Mexico,"1,890",+202,79,+19,633,"1,178",1,15,0.6
Panama,"1,801",,46,,13,"1,742",75,417,11
UAE,"1,799",+294,10,,144,"1,645",1,182,1
Dominican Republic,"1,745",+167,82,+5,17,"1,646",147,161,8
Greece,"1,735",+62,73,+5,78,"1,584",93,166,7
South Africa,"1,655",+70,11,+2,95,"1,549",7,28,0.2
Qatar,"1,604",+279,4,+1,123,"1,477",37,557,1
Argentina,"1,554",+103,46,+3,280,"1,228",86,34,1
Iceland,"1,486",+69,4,,428,"1,054",11,"4,355",12
Colombia,"1,485",+79,35,+3,88,"1,362",50,29,0.7
Algeria,"1,320",+69,152,+22,90,"1,078",46,30,3
Singapore,"1,309",+120,6,,320,983,25,224,1
Ukraine,"1,308",+83,37,+5,28,"1,243",16,30,0.8
Croatia,"1,182",+56,15,+3,125,"1,042",39,288,4
Egypt,"1,173",+103,78,+7,247,848,,11,0.8
Estonia,"1,097",+58,15,+2,62,"1,020",17,827,11
New Zealand,"1,039",+89,1,,156,882,3,215,0.2
Morocco,"1,021",+102,70,+11,76,875,1,28,2
Slovenia,997,+20,28,+6,79,890,31,480,13
Iraq,961,+83,61,+5,279,621,,24,2
Hong Kong,891,+29,4,,206,681,8,119,0.5
Moldova,864,+112,15,+3,30,819,80,214,4
Armenia,822,+52,7,,57,758,30,277,2
Lithuania,811,+40,13,+2,7,791,11,298,5
Hungary,733,+55,34,+2,66,633,17,76,4
Diamond Princess,712,,11,,619,82,10,,
Bahrain,700,+12,4,,431,265,3,411,2
Bosnia and Herzegovina,654,+30,23,+2,30,601,4,199,7
Cameroon,650,+95,9,,17,624,,24,0.3
Azerbaijan,584,+63,7,+2,32,545,17,58,0.7
Kazakhstan,584,+53,6,+1,42,536,6,31,0.3
Tunisia,574,+21,22,+4,5,547,39,49,2
Belarus,562,+122,8,+3,52,502,11,59,0.8
Kuwait,556,+77,1,,99,456,17,130,0.2
North Macedonia,555,+72,18,+1,23,514,15,266,9
Latvia,533,+24,1,,1,531,4,283,0.5
Bulgaria,531,+28,20,+3,37,474,22,76,3
Lebanon,527,+7,18,+1,54,455,28,77,3
Andorra,501,+35,18,+1,26,457,12,"6,484",233
Slovakia,485,+14,1,,8,476,3,89,0.2
Costa Rica,454,+19,2,,16,436,14,89,0.4
Cyprus,446,+20,9,,37,400,11,369,7
