country_other,totalcases,newcases,totaldeaths,newdeaths,totalrecovered,activecases,serious_critical,tot_cases_1m_pop
China,"81,054",,"3,261",,"72,440","5,353","1,845",56
Italy,"59,138","+5,560","5,476",+651,"7,024","46,638","3,000",978
USA,"32,580","+8,373",415,+113,178,"31,987",795,98
Spain,"28,603","+3,107","1,756",+375,"2,125","24,722","1,785",612
Germany,"24,852","+2,488",94,+10,266,"24,492",23,297
Iran,"21,638","+1,028","1,685",+129,"7,635","12,318",,258
France,"16,018","+1,559",674,+112,"2,200","13,144","1,746",245
S. Korea,"8,897",+98,104,+2,"2,909","5,884",59,174
Switzerland,"7,474",+611,98,+18,131,"7,245",141,864
UK,"5,683",+665,281,+48,93,"5,309",20,84
Netherlands,"4,204",+573,179,+43,2,"4,023",354,245
Austria,"3,580",+588,16,+8,9,"3,555",15,397
Belgium,"3,401",+586,75,+8,263,"3,063",288,293
Norway,"2,263",+99,7,,6,"2,250",28,417
Sweden,"1,931",+161,21,+1,16,"1,894",68,191
Portugal,"1,600",+320,14,+2,5,"1,581",26,157
Brazil,"1,546",+368,25,+7,2,"1,519",18,7
Canada,"1,436",+108,20,+1,14,"1,402",1,38
Denmark,"1,395",+69,13,,1,"1,381",42,241
Australia,"1,353",+281,7,,88,"1,258",2,53
Malaysia,"1,306",+123,10,+2,139,"1,157",26,40
Turkey,"1,236",+289,30,+9,,"1,206",,15
Czechia,"1,120",+125,1,+1,6,"1,113",19,105
Japan,"1,086",+32,36,,235,815,57,9
Israel,"1,071",+188,1,,37,"1,033",18,124
Ireland,906,+121,4,+1,5,897,29,183
Luxembourg,798,+128,8,,6,784,3,"1,275"
Ecuador,789,+257,14,+7,3,772,2,45
Pakistan,776,+131,4,+1,13,759,,4
Diamond Princess,712,,8,,567,137,15,
Poland,634,+98,7,+2,13,614,3,17
Chile,632,+95,1,,8,623,7,33
Finland,626,+103,1,,10,615,12,113
Greece,624,+94,15,+2,19,590,18,60
Thailand,599,+188,1,,44,554,7,9
Iceland,568,+95,1,,5,562,1,"1,665"
Indonesia,514,+64,48,+10,29,437,,2
Saudi Arabia,511,+119,,,17,494,,15
Qatar,494,+13,,,33,461,6,171
Singapore,455,+23,2,,144,309,14,78
Romania,433,+66,3,+3,64,366,14,23
Slovenia,414,+31,2,+1,,412,12,199
India,396,+64,7,+2,24,365,,0.3
Philippines,380,+73,25,+6,15,340,1,3
Russia,367,+61,1,,16,350,,3
Peru,363,+45,5,,1,357,5,11
Bahrain,334,+24,2,+1,149,183,3,196
Egypt,327,+33,14,+4,56,257,,3
Estonia,326,+20,,,4,322,2,246
Hong Kong,317,+43,4,,100,213,4,42
South Africa,274,+34,,,2,272,,5
Croatia,254,+48,1,,5,248,5,62
Mexico,251,+48,2,,4,245,1,2
Lebanon,248,+18,4,,8,236,4,36
Panama,245,,3,,1,241,7,57
Iraq,233,+19,20,+3,57,156,,6
Colombia,231,+35,2,+2,3,226,,5
Argentina,225,+67,4,,27,194,,5
Serbia,222,+51,2,+1,2,218,4,25
Dominican Republic,202,+90,3,,,199,,19
Algeria,201,+62,17,+2,65,119,,5
Armenia,194,+34,,,2,192,6,65
Kuwait,188,+12,,,30,158,5,44
Bulgaria,187,+24,3,,3,181,3,27
Slovakia,185,+7,,,7,178,2,34
San Marino,175,+15,20,,4,151,13,"5,158"
Taiwan,169,+16,2,,28,139,,7
UAE,153,,2,,38,113,2,15
Latvia,139,+15,,,1,138,,74
Uruguay,135,+25,,,,135,2,39
Costa Rica,134,+17,2,,2,130,2,26
Hungary,131,+28,6,+2,16,109,6,14
Lithuania,129,+30,1,,1,127,1,47
Bosnia and Herzegovina,126,+33,1,,2,123,1,38
Morocco,115,+19,4,+1,3,108,1,3
North Macedonia,115,+30,1,+1,1,113,1,55
Faeroe Islands,115,+23,,,3,112,,"2,354"
Andorra,113,+25,1,+1,1,111,2,"1,462"
Vietnam,113,+19,,,17,96,2,1
Jordan,112,+12,,,1,111,,11
